roi,stat,value
L_parietal,z,-1.3547941156989585
L_parietal,z,-1.231478370755621
L_parietal,z,-1.6182685960627314
L_parietal,z,-1.247716006816697
R_parietal,mean1,1.096296426254207
R_parietal,mean1,1.0717652194093445
R_parietal,mean1,1.0709797861190704
R_parietal,mean1,1.079749025729281
R_parietal,mean1,1.080351019363716
R_parietal,sd1,0.052855749769988955
R_parietal,sd1,0.06421294557999918
R_parietal,sd1,0.05950329630454579
R_parietal,sd1,0.055953481538820043
R_parietal,sd1,0.05769690837303933
R_parietal,weight1,0.2098568505265787
R_parietal,weight1,0.2549994163523471
R_parietal,weight1,0.198426641432723
R_parietal,weight1,0.23214225209146594
R_parietal,weight1,0.21445586161554897
R_parietal,bic,734.0264340552275
R_parietal,bic,738.5996203978395
R_parietal,bic,719.0740451149736
R_parietal,bic,681.9285489113876
R_parietal,bic,709.184018094482
R_parietal,z,-1.8218722972100052
R_parietal,z,-1.1176129479987245
R_parietal,z,-1.1928714966610658
R_parietal,z,-1.4252737012253975
R_parietal,z,-1.3926399460471357
